winner,count,probability
Spain,27586,0.27586
Argentina,16953,0.16953
France,11257,0.11257
England,8995,0.08995
Colombia,5016,0.05016
Brazil,4069,0.04069
Portugal,4025,0.04025
Netherlands,3382,0.03382
Ecuador,2416,0.02416
Croatia,2234,0.02234
Norway,2097,0.02097
Germany,1819,0.01819
Switzerland,1738,0.01738
Turkey,1293,0.01293
Uruguay,1181,0.01181
Japan,1087,0.01087
Belgium,854,0.00854
Mexico,622,0.00622
Morocco,505,0.00505
Paraguay,492,0.00492
Canada,469,0.00469
Austria,317,0.00317
South Korea,306,0.00306
Senegal,273,0.00273
Scotland,231,0.00231
Australia,183,0.00183
Iran,136,0.00136
Czech Republic,107,0.00107
United States,105,0.00105
Panama,70,0.0007
Algeria,60,0.0006
Uzbekistan,60,0.0006
Jordan,18,0.00018
Sweden,12,0.00012
Tunisia,10,0.0001
Ivory Coast,7,7e-05
DR Congo,4,4e-05
New Zealand,3,3e-05
Egypt,2,2e-05
Saudi Arabia,2,2e-05
Cape Verde,1,1e-05
Ghana,1,1e-05
Curaçao,1,1e-05
Haiti,1,1e-05
